State,County/ Congressional District,Veteran Population,Year
Indiana,STEUBEN,2901,2010
Indiana,SULLIVAN,1913,2010
Indiana,SWITZERLAND,811,2010
Indiana,TIPPECANOE,10018,2010
Indiana,TIPTON,1452,2010
Indiana,UNION,517,2010
Indiana,VANDERBURGH,14557,2010
Indiana,VERMILLION,1536,2010
Indiana,VIGO,8828,2010
Indiana,WABASH,2907,2010
Indiana,WARREN,720,2010
Indiana,WARRICK,5334,2010
Indiana,WASHINGTON,2337,2010
Indiana,WAYNE,6275,2010
Indiana,WELLS,2062,2010
Indiana,WHITE,2388,2010
Indiana,WHITLEY,2646,2010
Iowa,ADAIR,791,2010
Iowa,ADAMS,494,2010
Iowa,ALLAMAKEE,1397,2010
Iowa,APPANOOSE,970,2010
Iowa,AUDUBON,648,2010
Iowa,BENTON,2445,2010
Iowa,BLACK HAWK,10565,2010
Iowa,BOONE,2486,2010
Iowa,BREMER,2128,2010
Iowa,BUCHANAN,1638,2010
Iowa,BUENA VISTA,1358,2010
Iowa,BUTLER,1246,2010
Iowa,CALHOUN,1091,2010
Iowa,CARROLL,1624,2010
Iowa,CASS,1230,2010
Iowa,CEDAR,1771,2010
Iowa,CERRO GORDO,3879,2010
Iowa,CHEROKEE,1205,2010
Iowa,CHICKASAW,1079,2010
Iowa,CLARKE,776,2010
Iowa,CLAY,1488,2010
Iowa,CLAYTON,1813,2010
Iowa,CLINTON,4835,2010
Iowa,CRAWFORD,1128,2010
Iowa,DALLAS,3990,2010
Iowa,DAVIS,659,2010
Iowa,DECATUR,656,2010
Iowa,DELAWARE,1452,2010
Iowa,DES MOINES,3694,2010
Iowa,DICKINSON,1616,2010
Iowa,DUBUQUE,7217,2010
Iowa,EMMET,807,2010
Iowa,FAYETTE,2203,2010
Iowa,FLOYD,1458,2010
Iowa,FRANKLIN,828,2010
Iowa,FREMONT,793,2010
Iowa,GREENE,872,2010
Iowa,GRUNDY,1110,2010
Iowa,GUTHRIE,922,2010
Iowa,HAMILTON,1379,2010
Iowa,HANCOCK,970,2010
Iowa,HARDIN,1682,2010
Iowa,HARRISON,1463,2010
Iowa,HENRY,1613,2010
